"id","word","code","code_parent","gender","wcase","soul"
"1","а-ля фуршет","4155484","0","муж","им","0"
"2","аба","1190170","0","жен","им","0"
"3","абажур","125723","0","муж","им","0"
"4","абажурчик","125724","0","муж","им","0"
"5","абаз","125725","0","муж","им","0"
"6","абазин","4155485","0","муж","им","1"
"7","абазинец","125727","0","муж","им","1"
"8","абазинка","144752","0","жен","им","1"
"9","абазия","4084603","0","жен","им","0"
"10","абак","125728","0","муж","им","0"
"11","абака","144753","0","жен","им","0"
"12","абандон","4084604","0","муж","им","0"
"13","аббат","1","0","муж","им","1"
"14","аббатиса","144754","0","жен","им","1"
"15","аббатисса","144755","0","жен","им","1"
"16","аббатство","99856","0","ср","им","0"
"17","аббревиатура","144756","0","жен","им","0"
"18","аббревиация","1190177","0","жен","им","0"
"19","абвер","125729","0","муж","им","0"
"20","абверовец","125730","0","муж","им","1"
"21","абдикация","1190183","0","жен","им","0"
"22","абдомен","1163536","0","муж","им","0"
"23","абдуктор","1163542","0","муж","им","0"
"24","абдукция","1190189","0","жен","им","0"
"25","абеида","4084610","0","жен","им","0"
"26","абелит","1163548","0","муж","им","0"
"27","аберрация","144757","0","жен","им","0"
"28","абзац","125731","0","муж","им","0"
"29","абзетцер","4084605","0","муж","им","0"
"30","абиетин","1163554","0","муж","им","0"
"31","абиогенез","125732","0","муж","им","0"
"32","абиссаль","144758","0","жен","им","0"
"33","абиссинец","125733","0","муж","им","1"
"34","абиссинка","144759","0","жен","им","1"
"35","абитуриент","125734","0","муж","им","1"
"36","абитуриентка","144760","0","жен","им","1"
"37","аблактировка","1190195","0","жен","им","0"
"38","аблатив","4084606","0","муж","им","0"
"39","аблаут","4084607","0","муж","им","0"
"40","аблятив","1163560","0","муж","им","0"
"41","абляут","1163566","0","муж","им","0"
"42","абляция","1190202","0","жен","им","0"
"43","аболиционизм","125735","0","муж","им","0"
"44","аболиционист","125736","0","муж","им","1"
"45","аболиционистка","144761","0","жен","им","1"
"46","аболиция","1190208","0","жен","им","0"
"47","абонемент","125737","0","муж","им","0"
"48","абонент","125738","0","муж","им","1"
"49","абонентка","1190214","0","жен","им","1"
"50","абонирование","1186660","0","ср","им","0"
"51","абордаж","125739","0","муж","им","0"
"52","абориген","125740","0","муж","им","1"
"53","аборигенка","144762","0","жен","им","1"
"54","аборт","7","0","муж","им","0"
"55","абортарий","1163572","0","муж","им","0"
"56","абортивность","4177340","0","жен","им","0"
"57","абразив","125742","0","муж","им","0"
"58","абразия","144763","0","жен","им","0"
"59","абракадабра","144764","0","жен","им","0"
"60","абрек","125743","0","муж","им","1"
"61","абрикос","125744","0","муж","им","0"
"62","абрикосик","125745","0","муж","им","0"
"63","абрикосовка","1190221","0","жен","им","0"
"64","абрикотин","125746","0","муж","им","0"
"65","абрис","125747","0","муж","им","0"
"66","аброгация","4084609","0","жен","им","0"
"67","абсент","125748","0","муж","им","0"
"68","абсентеизм","125749","0","муж","им","0"
"69","абсентеист","1163578","0","муж","им","1"
"70","абсолют","13","0","муж","им","0"
"71","абсолютизация","144765","0","жен","им","0"
"72","абсолютизирование","168673","0","ср","им","0"
"73","абсолютизм","125750","0","муж","им","0"
"74","абсолютист","125751","0","муж","им","1"
"75","абсолютистка","144766","0","жен","им","1"
"76","абсолютность","144767","0","жен","им","0"
"77","абсолюция","1190228","0","жен","им","0"
"78","абсорбент","125752","0","муж","им","0"
"79","абсорбер","1163584","0","муж","им","0"
"80","абсорбция","144768","0","жен","им","0"
"81","абстинент","1163590","0","муж","им","1"
"82","абстиненция","4084611","0","жен","им","0"
"83","абстрагирование","99862","0","ср","им","0"
"84","абстракт","125753","0","муж","им","0"
"85","абстрактность","535","0","жен","им","0"
"86","абстракционизм","125754","0","муж","им","0"
"87","абстракционист","125755","0","муж","им","1"
"88","абстракционистка","144808","0","жен","им","1"
"89","абстракция","144809","0","жен","им","0"
"90","абсурд","19","0","муж","им","0"
"91","абсурдность","541","0","жен","им","0"
"92","абсцесс","125756","0","муж","им","0"
"93","абсцисса","144810","0","жен","им","0"
"94","абулия","144772","0","жен","им","0"
"95","абхаз","125757","0","муж","им","1"
"96","абхазец","125758","0","муж","им","1"
"97","абхазка","144773","0","жен","им","1"
"98","абцуг","125759","0","муж","им","0"
"99","абшид","125760","0","муж","им","0"
"100","абштрих","1163596","0","муж","им","0"
"101","абъюрация","1190234","0","жен","им","0"
"102","авалист","1163602","0","муж","им","1"
"103","аваль","1163608","0","муж","им","0"
"104","авангард","25","0","муж","им","0"
"105","авангардизм","125722","0","муж","им","0"
"106","авангардист","125763","0","муж","им","1"
"107","авангардистка","4238926","0","жен","им","1"
"108","аванзал","125764","0","муж","им","0"
"109","аванзала","144774","0","жен","им","0"
"110","аванкамера","1190240","0","жен","им","0"
"111","аванложа","144775","0","жен","им","0"
"112","аванпорт","125765","0","муж","им","0"
"113","аванпост","125766","0","муж","им","0"
"114","аванс","125767","0","муж","им","0"
"115","авансирование","168634","0","ср","им","0"
"116","авансодатель","125768","0","муж","им","1"
"117","авансодержатель","125769","0","муж","им","1"
"118","авансцена","144776","0","жен","им","0"
"119","авантаж","125770","0","муж","им","0"
"120","авантажность","144777","0","жен","им","0"
"121","авантитул","4084612","0","муж","им","0"
"122","авантюра","547","0","жен","им","0"
"123","авантюризм","125771","0","муж","им","0"
"124","авантюрин","125772","0","муж","им","0"
"125","авантюрист","31","0","муж","им","1"
"126","авантюристичность","4177352","0","жен","им","0"
"127","авантюристка","144778","0","жен","им","1"
"128","авантюрность","144779","0","жен","им","0"
"129","авар","4132566","0","муж","им","1"
"130","аварец","125773","0","муж","им","1"
"131","аварийка","144780","0","жен","им","0"
"132","аварийность","144781","0","жен","им","0"
"133","аварийщик","125774","0","муж","им","1"
"134","аварийщица","4238939","0","жен","им","1"
"135","авария","144782","0","жен","им","0"
"136","аварка","144783","0","жен","им","1"
"137","авгит","125775","0","муж","им","0"
"138","авгур","125776","0","муж","им","1"
"139","август","37","0","муж","им","0"
"140","августинец","125777","0","муж","им","1"
"141","авдитор","4084613","0","муж","им","1"
"142","авеню","122081","0","жен",NULL,"0"
"143","аверс","1163614","0","муж","им","0"
"144","авеста","4084614","0","жен","им","0"
"145","авиа","122333","0","ср",NULL,"0"
"146","авиабаза","144784","0","жен","им","0"
"147","авиабензин","1163620","0","муж","им","0"
"148","авиабилет","125778","0","муж","им","0"
"149","авиабомба","144785","0","жен","им","0"
"150","авиагоризонт","125779","0","муж","им","0"
"151","авиадвигатель","1163626","0","муж","им","0"
"152","авиадесант","125780","0","муж","им","0"
"153","авиадесантник","125781","0","муж","им","1"
"154","авиазавод","1163632","0","муж","им","0"
"155","авиакомпания","4146822","0","жен","им","0"
"156","авиаконструктор","125982","0","муж","им","1"
"157","авиалайнер","125983","0","муж","им","0"
"158","авиалиния","144786","0","жен","им","0"
"159","авиамагистраль","144787","0","жен","им","0"
